query,execution_time_s,puissance_moyenne_W,energy_consumed_J
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1681,51.263,5.1263
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1507,110.994,11.0994
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1524,81.732,8.1732
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1506,92.088,9.2088
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1503,77.698,7.7698
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1538,86.878,8.6878
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.15,73.026,7.3026
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1507,74.64,7.464
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1526,82.638,8.2638
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1509,87.441,8.7441
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.15,60.701,6.0701
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1504,68.684,6.8684
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1501,75.997,7.5997
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1525,85.311,8.5311
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1505,84.072,8.4072
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1518,100.781,10.0781
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1499,70.638,7.0638
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1545,87.562,8.7562
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1516,59.665,5.9665
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1513,66.134,6.6134
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1503,66.281,6.6281
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1517,75.538,7.5538
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1506,60.721,6.0721
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1518,73.912,7.3912
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.15,69.753,6.9753
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1514,66.724,6.6724
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1509,80.978,8.0978
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1507,69.476,6.9476
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1505,87.749,8.7749
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1531,69.379,6.9379
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.153,98.547,9.8547
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1508,66.599,6.6599
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1507,98.239,9.8239
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1508,65.828,6.5828
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1504,97.735,9.7735
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1515,66.597,6.6597
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1503,83.292,8.3292
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1509,72.098,7.2098
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1515,94.411,9.4411
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.153,64.104,6.4104
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1509,84.934,8.4934
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1501,66.732,6.6732
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1505,74.401,7.4401
