query,execution_time_s,puissance_moyenne_W,energy_consumed_J
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1529,77.146,7.7146
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1517,76.931,7.6931
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.151,96.144,9.6144
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.153,85.148,8.5148
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1514,105.643,10.5643
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1526,73.808,7.3808
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1517,100.549,10.0549
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1528,66.65,6.665
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1525,78.506,7.8506
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1547,74.607,7.4607
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1538,94.083,9.4083
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1498,66.125,6.6125
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1505,86.589,8.6589
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1509,70.564,7.0564
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1517,94.056,9.4056
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1501,60.643,6.0643
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1509,83.119,8.3119
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1537,108.763,10.8763
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1526,84.675,8.4675
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1508,84.471,8.4471
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1528,79.347,7.9347
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1528,68.998,6.8998
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1521,88.074,8.8074
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1523,87.732,8.7732
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.152,64.443,6.4443
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1508,85.222,8.5222
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1527,78.595,7.8595
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1506,77.61,7.761
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1528,75.549,7.5549
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.151,84.294,8.4294
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1543,66.485,6.6485
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.152,94.197,9.4197
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1526,66.219,6.6219
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.151,73.052,7.3052
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1515,69.526,6.9526
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1509,89.325,8.9325
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1509,64.094,6.4094
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1505,69.291,6.9291
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1517,109.189,10.9189
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1527,94.831,9.4831
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1506,76.121,7.6121
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1518,91.613,9.1613
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1503,82.633,8.2633
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1531,83.416,8.3416
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1508,73.362,7.3362
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1546,85.134,8.5134
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1498,67.682,6.7682
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1527,86.554,8.6554
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1496,78.788,7.8788
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.152,85.584,8.5584
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1494,76.56,7.656
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1521,66.166,6.6166
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1499,75.945,7.5945
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1527,75.474,7.5474
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1509,74.623,7.4623
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.153,63.663,6.3663
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1501,73.047,7.3047
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1519,73.4,7.34
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1509,79.925,7.9925
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1551,80.54,8.054
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1495,66.606,6.6606
